year,population
2020, 7794799
2025, 8184437
2030, 8548487
2035, 8887524
2040, 9198847
2045, 9481803
2050, 9735034
2055, 9958099
2060, 10151470
2065, 10317879
2070, 10459240
2075, 10577288
2080, 10673904
2085, 10750662
2090, 10809892
2095, 10851860
2100, 10875394
